age_group,education,gender,nationality,electoral_district,unit,N
35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1820
35-44,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1270
35-44,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,399
35-44,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,519
35-44,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,403
35-44,Basic education,Male,Other,Mustamäe ja Nõmme,Mustamäe,109
35-44,Secondary education,Male,Other,Mustamäe ja Nõmme,Nõmme,77
35-44,Higher education,Male,Other,Mustamäe ja Nõmme,Nõmme,58
35-44,Basic education,Male,Other,Mustamäe ja Nõmme,Nõmme,24
35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,74
35-44,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,178
35-44,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,8
35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,444
35-44,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,246
35-44,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,152
35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,681
35-44,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,588
35-44,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,185
35-44,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,1648
35-44,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,721
35-44,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,408
35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,44
35-44,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,8
35-44,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,40
35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,17
35-44,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,7
35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,22
35-44,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,30
35-44,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,7
35-44,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,19
35-44,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,84
35-44,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,17
35-44,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,63
35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,19
35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,4
35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,14
35-44,Secondary education,Male,Other,Pärnumaa,Pärnumaa,139
35-44,Higher education,Male,Other,Pärnumaa,Pärnumaa,33
35-44,Basic education,Male,Other,Pärnumaa,Pärnumaa,51
35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,32
35-44,Higher education,Male,Other,Harju- ja Raplamaa,Raplamaa,7
35-44,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,16
35-44,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,6
35-44,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,3
35-44,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
35-44,Secondary education,Male,Other,Tartu linn,Tartu linn,393
35-44,Higher education,Male,Other,Tartu linn,Tartu linn,194
35-44,Basic education,Male,Other,Tartu linn,Tartu linn,172
35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,131
35-44,Higher education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,47
35-44,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,74
35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,50
35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,11
35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,39
35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,24
35-44,Higher education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,5
35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,28
35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,28
35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,7
35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,10
35-44,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,518
35-44,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,1022
35-44,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,87
35-44,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,797
35-44,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,3187
35-44,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,83
35-44,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,515
35-44,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,1326
35-44,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,70
35-44,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,929
35-44,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1061
35-44,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,225
35-44,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,956
35-44,Higher education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,1519
35-44,Basic education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,173
35-44,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,545
35-44,Higher education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,1448
35-44,Basic education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,77
35-44,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,190
35-44,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,727
35-44,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,22
35-44,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,778
35-44,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,2158
35-44,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,136
35-44,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,3749
35-44,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,6833
35-44,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,696
35-44,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,189
35-44,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,151
35-44,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,36
35-44,Secondary education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,471
35-44,Higher education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,465
35-44,Basic education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,111
35-44,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,545
35-44,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,366
35-44,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,212
35-44,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,673
35-44,Higher education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,428
35-44,Basic education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,297
35-44,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,439
35-44,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,336
35-44,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,143
35-44,Secondary education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1176
35-44,Higher education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1063
35-44,Basic education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,492
35-44,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,528
35-44,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,392
35-44,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,204
35-44,Secondary education,Female,Estonian,Pärnumaa,Pärnumaa,2189
35-44,Higher education,Female,Estonian,Pärnumaa,Pärnumaa,1724
35-44,Basic education,Female,Estonian,Pärnumaa,Pärnumaa,627
35-44,Secondary education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,858
35-44,Higher education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,746
35-44,Basic education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,281
35-44,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,808
35-44,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,615
35-44,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,212
35-44,Secondary education,Female,Estonian,Tartu linn,Tartu linn,1602
35-44,Higher education,Female,Estonian,Tartu linn,Tartu linn,3678
35-44,Basic education,Female,Estonian,Tartu linn,Tartu linn,363
35-44,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1448
35-44,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,2057
35-44,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,423
35-44,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,502
35-44,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,323
35-44,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,207
35-44,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,982
35-44,Higher education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,786
35-44,Basic education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,447
35-44,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,745
35-44,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,601
35-44,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,245
35-44,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,422
35-44,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,798
35-44,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,50
35-44,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,215
35-44,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,631
35-44,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,21
35-44,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,127
35-44,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,280
35-44,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,19
35-44,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1791
35-44,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,2503
35-44,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,268
35-44,Secondary education,Female,Other,Mustamäe ja Nõmme,Mustamäe,453
35-44,Higher education,Female,Other,Mustamäe ja Nõmme,Mustamäe,745
35-44,Basic education,Female,Other,Mustamäe ja Nõmme,Mustamäe,74
35-44,Secondary education,Female,Other,Mustamäe ja Nõmme,Nõmme,89
35-44,Higher education,Female,Other,Mustamäe ja Nõmme,Nõmme,113
35-44,Basic education,Female,Other,Mustamäe ja Nõmme,Nõmme,19
35-44,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,61
35-44,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,252
35-44,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,3
35-44,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,430
35-44,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,527
35-44,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,82
35-44,Secondary education,Female,Other,Harju- ja Raplamaa,Harjumaa,654
35-44,Higher education,Female,Other,Harju- ja Raplamaa,Harjumaa,1023
35-44,Basic education,Female,Other,Harju- ja Raplamaa,Harjumaa,146
35-44,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,2
35-44,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,2
35-44,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,1476
35-44,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,1576
35-44,Basic education,Female,Other,Ida-Virumaa,Ida-Virumaa,219
35-44,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,35
35-44,Higher education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,23
35-44,Basic education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,11
35-44,Secondary education,Female,Other,Järva- ja Viljandimaa,Järvamaa,18
35-44,Higher education,Female,Other,Järva- ja Viljandimaa,Järvamaa,10
35-44,Basic education,Female,Other,Järva- ja Viljandimaa,Järvamaa,12
35-44,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,30
35-44,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,14
35-44,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,16
35-44,Secondary education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,103
35-44,Higher education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,55
35-44,Basic education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,40
35-44,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,28
35-44,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,11
35-44,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,16
35-44,Secondary education,Female,Other,Pärnumaa,Pärnumaa,149
35-44,Higher education,Female,Other,Pärnumaa,Pärnumaa,81
35-44,Basic education,Female,Other,Pärnumaa,Pärnumaa,31
35-44,Secondary education,Female,Other,Harju- ja Raplamaa,Raplamaa,33
35-44,Higher education,Female,Other,Harju- ja Raplamaa,Raplamaa,17
35-44,Basic education,Female,Other,Harju- ja Raplamaa,Raplamaa,17
35-44,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,6
35-44,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,2
35-44,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,3
35-44,Secondary education,Female,Other,Tartu linn,Tartu linn,334
35-44,Higher education,Female,Other,Tartu linn,Tartu linn,364
35-44,Basic education,Female,Other,Tartu linn,Tartu linn,81
35-44,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,110
35-44,Higher education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,144
35-44,Basic education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,32
35-44,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,75
35-44,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,22
35-44,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,28
35-44,Secondary education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,27
35-44,Higher education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,10
35-44,Basic education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,14
35-44,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,12
35-44,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,26
35-44,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,7
45-54,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,813
45-54,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,644
45-54,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,91
45-54,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1116
45-54,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1437
45-54,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,140
45-54,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,725
45-54,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,577
45-54,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,101
45-54,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1026
45-54,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,382
45-54,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,200
45-54,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1302
45-54,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,581
45-54,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,208
45-54,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,935
45-54,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,948
45-54,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,130
45-54,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,389
45-54,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,542
45-54,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,42
45-54,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1005
45-54,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,685
45-54,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,223
45-54,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,5632
45-54,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,3270
45-54,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,1157
45-54,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,348
45-54,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,93
45-54,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,116
45-54,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,1124
45-54,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,297
45-54,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,250
45-54,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,1073
45-54,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,145
45-54,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,392
45-54,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,1076
45-54,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,200
45-54,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,418
45-54,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,598
45-54,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,167
45-54,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,330
45-54,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,2031
45-54,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,387
45-54,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,787
45-54,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,971
45-54,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,144
45-54,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,378
45-54,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,3095
45-54,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,720
45-54,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,1016
45-54,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,1346
45-54,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,271
45-54,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,552
45-54,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1317
45-54,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,253
45-54,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,398
45-54,Secondary education,Male,Estonian,Tartu linn,Tartu linn,2500
45-54,Higher education,Male,Estonian,Tartu linn,Tartu linn,1621
45-54,Basic education,Male,Estonian,Tartu linn,Tartu linn,539
45-54,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,2275
45-54,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,734
45-54,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,683
45-54,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,998
45-54,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,189
45-54,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,325
45-54,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1676
45-54,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,310
45-54,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,661
45-54,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,1426
45-54,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,260
45-54,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,468
45-54,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,334
45-54,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,245
45-54,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,40
45-54,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,154
45-54,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,154
45-54,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,25
45-54,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,119
45-54,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,81
45-54,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,16
45-54,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1070
45-54,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,494
45-54,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,130
45-54,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,391
45-54,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,182
45-54,Basic education,Male,Other,Mustamäe ja Nõmme,Mustamäe,37
45-54,Secondary education,Male,Other,Mustamäe ja Nõmme,Nõmme,84
45-54,Higher education,Male,Other,Mustamäe ja Nõmme,Nõmme,44
45-54,Basic education,Male,Other,Mustamäe ja Nõmme,Nõmme,3
45-54,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,69
45-54,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,88
45-54,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,3
45-54,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,342
45-54,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,145
45-54,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,60
45-54,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,563
45-54,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,215
45-54,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,98
45-54,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,3
45-54,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,1337
45-54,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,498
45-54,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,171
45-54,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,84
45-54,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,3
45-54,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,25
45-54,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,39
45-54,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,5
45-54,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,18
45-54,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,39
45-54,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,4
45-54,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,8
45-54,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,125
45-54,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,26
45-54,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,36
45-54,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,32
45-54,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,3
45-54,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,12
45-54,Secondary education,Male,Other,Pärnumaa,Pärnumaa,193
45-54,Higher education,Male,Other,Pärnumaa,Pärnumaa,26
