age_group,education,gender,nationality,electoral_district,unit,N
18-24,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,16
18-24,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,428
18-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1
18-24,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,1159
18-24,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,55
18-24,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,1434
18-24,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,21
18-24,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,2
18-24,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,30
18-24,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,2
18-24,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,1
18-24,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,9
18-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,12
18-24,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,1
18-24,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,23
18-24,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,51
18-24,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,4
18-24,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,89
18-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,7
18-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,9
18-24,Secondary education,Male,Other,Pärnumaa,Pärnumaa,53
18-24,Higher education,Male,Other,Pärnumaa,Pärnumaa,6
18-24,Basic education,Male,Other,Pärnumaa,Pärnumaa,76
18-24,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,5
18-24,Higher education,Male,Other,Harju- ja Raplamaa,Raplamaa,1
18-24,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,23
18-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
18-24,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
18-24,Secondary education,Male,Other,Tartu linn,Tartu linn,127
18-24,Higher education,Male,Other,Tartu linn,Tartu linn,7
18-24,Basic education,Male,Other,Tartu linn,Tartu linn,187
18-24,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,42
18-24,Higher education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,2
18-24,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,70
18-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,27
18-24,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,2
18-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,70
18-24,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,5
18-24,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,8
18-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,7
18-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,11
18-24,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,369
18-24,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,90
18-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,390
18-24,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,575
18-24,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,136
18-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,584
18-24,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,344
18-24,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,75
18-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,285
18-24,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,505
18-24,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,96
18-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,544
18-24,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,523
18-24,Higher education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,133
18-24,Basic education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,505
18-24,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,485
18-24,Higher education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,104
18-24,Basic education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,519
18-24,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,198
18-24,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,45
18-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,229
18-24,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,432
18-24,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,82
18-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,429
18-24,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,2077
18-24,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,364
18-24,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,2536
18-24,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,130
18-24,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,21
18-24,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,107
18-24,Secondary education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,523
18-24,Higher education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,93
18-24,Basic education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,454
18-24,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,430
18-24,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,76
18-24,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,401
18-24,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,384
18-24,Higher education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,73
18-24,Basic education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,527
18-24,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,265
18-24,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,48
18-24,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,305
18-24,Secondary education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,824
18-24,Higher education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,141
18-24,Basic education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,941
18-24,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,343
18-24,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,54
18-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,349
18-24,Secondary education,Female,Estonian,Pärnumaa,Pärnumaa,1273
18-24,Higher education,Female,Estonian,Pärnumaa,Pärnumaa,184
18-24,Basic education,Female,Estonian,Pärnumaa,Pärnumaa,1269
18-24,Secondary education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,475
18-24,Higher education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,72
18-24,Basic education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,516
18-24,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,441
18-24,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,79
18-24,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,438
18-24,Secondary education,Female,Estonian,Tartu linn,Tartu linn,1218
18-24,Higher education,Female,Estonian,Tartu linn,Tartu linn,250
18-24,Basic education,Female,Estonian,Tartu linn,Tartu linn,1231
18-24,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,859
18-24,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,146
18-24,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,982
18-24,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,370
18-24,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,65
18-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,376
18-24,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,682
18-24,Higher education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,108
18-24,Basic education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,751
18-24,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,551
18-24,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,97
18-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,474
18-24,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,228
18-24,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,25
18-24,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,212
18-24,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,89
18-24,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,24
18-24,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,103
18-24,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,60
18-24,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,8
18-24,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,74
18-24,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,639
18-24,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,93
18-24,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,809
18-24,Secondary education,Female,Other,Mustamäe ja Nõmme,Mustamäe,212
18-24,Higher education,Female,Other,Mustamäe ja Nõmme,Mustamäe,27
18-24,Basic education,Female,Other,Mustamäe ja Nõmme,Mustamäe,211
18-24,Secondary education,Female,Other,Mustamäe ja Nõmme,Nõmme,40
18-24,Higher education,Female,Other,Mustamäe ja Nõmme,Nõmme,5
18-24,Basic education,Female,Other,Mustamäe ja Nõmme,Nõmme,53
18-24,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,51
18-24,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,7
18-24,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,53
18-24,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,192
18-24,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,18
18-24,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,255
18-24,Secondary education,Female,Other,Harju- ja Raplamaa,Harjumaa,287
18-24,Higher education,Female,Other,Harju- ja Raplamaa,Harjumaa,37
18-24,Basic education,Female,Other,Harju- ja Raplamaa,Harjumaa,389
18-24,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,1125
18-24,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,133
18-24,Basic education,Female,Other,Ida-Virumaa,Ida-Virumaa,1255
18-24,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,27
18-24,Higher education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,2
18-24,Basic education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,19
18-24,Secondary education,Female,Other,Järva- ja Viljandimaa,Järvamaa,4
18-24,Higher education,Female,Other,Järva- ja Viljandimaa,Järvamaa,1
18-24,Basic education,Female,Other,Järva- ja Viljandimaa,Järvamaa,7
18-24,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,12
18-24,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,1
18-24,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,21
18-24,Secondary education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,60
18-24,Higher education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,5
18-24,Basic education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,81
18-24,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,5
18-24,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,12
18-24,Secondary education,Female,Other,Pärnumaa,Pärnumaa,47
18-24,Higher education,Female,Other,Pärnumaa,Pärnumaa,10
18-24,Basic education,Female,Other,Pärnumaa,Pärnumaa,61
18-24,Secondary education,Female,Other,Harju- ja Raplamaa,Raplamaa,9
18-24,Higher education,Female,Other,Harju- ja Raplamaa,Raplamaa,1
18-24,Basic education,Female,Other,Harju- ja Raplamaa,Raplamaa,9
18-24,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
18-24,Secondary education,Female,Other,Tartu linn,Tartu linn,156
18-24,Higher education,Female,Other,Tartu linn,Tartu linn,19
18-24,Basic education,Female,Other,Tartu linn,Tartu linn,174
18-24,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,45
18-24,Higher education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,3
18-24,Basic education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,50
18-24,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,33
18-24,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,3
18-24,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,53
18-24,Secondary education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,3
18-24,Higher education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,2
18-24,Basic education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,5
18-24,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,9
18-24,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,1
18-24,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,11
25-34,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,836
25-34,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,704
25-34,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,213
25-34,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1300
25-34,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1639
25-34,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,330
25-34,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,809
25-34,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,816
25-34,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,220
25-34,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1323
25-34,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,736
25-34,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,494
25-34,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1629
25-34,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1247
25-34,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,462
25-34,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,774
25-34,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,607
25-34,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,215
25-34,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,265
25-34,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,267
25-34,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,62
25-34,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1202
25-34,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1034
25-34,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,385
25-34,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,4204
25-34,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,2310
25-34,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,1682
25-34,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,300
25-34,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,129
25-34,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,141
25-34,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,918
25-34,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,299
25-34,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,353
25-34,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,957
25-34,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,230
25-34,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,495
25-34,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,930
25-34,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,214
25-34,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,581
25-34,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,628
25-34,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,177
25-34,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,358
25-34,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,1814
