,model_id,data_name,data_id,desc,model_name,kld,kld_1d,kld_2d,emd,emd_1d,emd_2d,topline_yes,pop_topline_yes,o_coef_rlm_slope,o_coef_rlm_mae,fit_time,mean_rhat,divergences,selection_prop,overreport_prop,target_accept,or_bias_med,s_coef_rlm_slope,s_coef_rlm_mae,s_intercept_med,rho_med,rho_sd
../tmp/models/88a1d12b8443badfe62befd2684d1898,88a1d12b8443badfe62befd2684d1898,est-noise-sel,est-noise-sel-015ade4c8f3456d50112790f999d4fb7,"selection_noise_prop=0.2,seed=10120522",4_pm,0.010149085942126924,0.001026720249205015,0.0023645576895467263,0.03924327980660021,0.014621439175295759,0.023352545158643073,0.4336840900498843,0.43369586264764737,1.0917273683648965,0.05358807417065554,204.4032270978205,1.0053407712830462,12,0.21234013517625472,0.062,0.9,0.9171361385285354,,,,,
../tmp/models/861677dc7e603d85e4b845bab74dd861,861677dc7e603d85e4b845bab74dd861,est-noise-sel,est-noise-sel-015ade4c8f3456d50112790f999d4fb7,"selection_noise_prop=0.2,seed=10120522",5_fs,0.008463871862887062,0.0008778389567294138,0.0019994413211445084,0.036888674862016024,0.013087476371817694,0.021328009884648367,0.433684306737605,0.43369586264764737,1.0660768124750655,0.04664220246941379,307.5693724579178,1.020141975913052,25,0.21234013517625472,0.062,0.9,0.5450131186474568,0.6930988479404866,0.10152358150461838,-0.958226585306929,0.2824990098755866,0.1258208957911178
../tmp/models/c3ed2ec623e791dda8c91261b889ec2e,c3ed2ec623e791dda8c91261b889ec2e,est-noise-sel,est-noise-sel-335d47f13e21d389948ae3820ee8e92d,"selection_noise_prop=0.2,seed=10120521",1_bp,0.06754511640887882,0.027161076436484598,0.03367040962061356,0.10566943549760444,0.10356527602327319,0.1037475214613051,0.6152262035389254,0.5117276465869378,0.9388322743645887,0.18199799495327426,69.33642356609926,1.0005990566037735,1,0.5035038865478418,0.064,0.9,,,,,,
../tmp/models/ff2dd3fe7828ec53e8ab7511399a260f,ff2dd3fe7828ec53e8ab7511399a260f,est-noise-sel,est-noise-sel-335d47f13e21d389948ae3820ee8e92d,"selection_noise_prop=0.2,seed=10120521",2_ei,0.2754576499547413,0.04621823903461451,0.09623267937669504,0.3032478706895345,0.0939841608191718,0.16684889535366204,0.5117247524227531,0.5117276465869378,0.7058538290240004,0.2087589157583062,413.03088956000283,1.009754948162111,9,0.5035038865478418,0.064,0.9,,,,,,
../tmp/models/3e66e2b7e809991a294190313b8d6f03,3e66e2b7e809991a294190313b8d6f03,est-noise-sel,est-noise-sel-335d47f13e21d389948ae3820ee8e92d,"selection_noise_prop=0.2,seed=10120521",3_gg,0.008748707704075853,0.0008823298052513379,0.0018024087507220216,0.03383194677776876,0.016395633050870894,0.020830780721247378,0.5001583157370609,0.5117276465869378,0.9391605937047837,0.17849943562111395,157.62461835099384,1.0007122641509436,0,0.5035038865478418,0.064,0.9,,,,,,
../tmp/models/3334bbc7fcc5cdcf2765bbd4e3856173,3334bbc7fcc5cdcf2765bbd4e3856173,est-noise-sel,est-noise-sel-335d47f13e21d389948ae3820ee8e92d,"selection_noise_prop=0.2,seed=10120521",4_pm,0.007047487487165704,0.0004880362355984719,0.001223380989954908,0.029312715842554703,0.009299174973029307,0.01548468778526708,0.5117052666642078,0.5117276465869378,1.0733187178730226,0.050862138615275415,233.6338405618444,1.003647829250546,0,0.5035038865478418,0.064,0.9,0.5166690441830344,,,,,
../tmp/models/22b5b503f5cfd1c64c1e27fa86d052c8,22b5b503f5cfd1c64c1e27fa86d052c8,est-noise-sel,est-noise-sel-335d47f13e21d389948ae3820ee8e92d,"selection_noise_prop=0.2,seed=10120521",5_fs,0.015070969136928722,0.0013246650955343422,0.0031771856925570025,0.049783221958057094,0.013905265972651248,0.02560973919097103,0.5117218398170602,0.5117276465869378,1.0236788152943619,0.08132892667536193,316.61535217799246,1.1506619014980906,9,0.5035038865478418,0.064,0.9,0.20096869455877153,0.1744547627984309,0.3242501491409314,1.466298791315971,0.6219501660237908,0.15067676087888934
../tmp/models/3b155cc4189b0ec675f7b0d4a722cdd5,3b155cc4189b0ec675f7b0d4a722cdd5,est-noise-sel,est-noise-sel-884b6e37fa0a64b1e03008c4b4f8abc5,"selection_noise_prop=0.2,seed=10120520",1_bp,0.15321668792412313,0.0853345049753034,0.09819985277061934,0.19265178310355413,0.19250314658232748,0.19250433144922593,0.5700515324893269,0.37754838590699946,1.0766278739286785,0.16785668361134362,101.4374428158626,1.0009575471698111,0,0.27419064831121887,0.072,0.9,,,,,,
../tmp/models/82014e1086a0df9e8b871576048194ec,82014e1086a0df9e8b871576048194ec,est-noise-sel,est-noise-sel-884b6e37fa0a64b1e03008c4b4f8abc5,"selection_noise_prop=0.2,seed=10120520",2_ei,0.21613985166476993,0.037093861563839134,0.07767148906699652,0.270348724229428,0.07952924961503352,0.14186430945772743,0.37756230924565015,0.37754838590699946,1.0481924395912798,0.2142253327177827,853.5497659971006,1.0129029217719132,3,0.27419064831121887,0.072,0.9,,,,,,
../tmp/models/3f300fe5c9d34fad2faed5a6921956bd,3f300fe5c9d34fad2faed5a6921956bd,est-noise-sel,est-noise-sel-884b6e37fa0a64b1e03008c4b4f8abc5,"selection_noise_prop=0.2,seed=10120520",3_gg,0.008435046084991543,0.0008645006407743282,0.0018729240698722234,0.03612700658735927,0.013114267272777567,0.01882726922757743,0.3845962254843201,0.37754838590699946,1.0753755089219874,0.16777549383912432,277.78941024141386,1.000674528301887,0,0.27419064831121887,0.072,0.9,,,,,,
