date,methods,wave,age,age_group,education,gender,nationality,municipality,electoral_district,citizen,voting_intent
2023-02-02 09:21:00,Cati,22,73.0,65-74,Secondary education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,True,Yes
2023-02-02 09:34:00,Cati,22,68.0,65-74,Secondary education,Female,Other,Pirita,"Kesklinn, Lasnamäe ja Pirita",True,No
2023-02-02 09:51:00,Cati,22,24.0,16-24,Higher education,Female,Other,Harjumaa,Harju- ja Raplamaa,False,No
2023-02-02 10:01:00,Cati,22,48.0,45-54,Higher education,Female,Estonian,Võrumaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-02 10:08:00,Cati,22,54.0,45-54,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,False,No
2023-02-02 10:12:00,Cati,22,74.0,65-74,Secondary education,Female,Other,Haabersti,"Haabersti, Põhja-Tallinn ja Kristiine",False,Yes
2023-02-02 10:26:00,Cati,22,67.0,65-74,Higher education,Female,Other,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",False,No opinion
2023-02-02 10:26:00,Cati,22,58.0,55-64,Secondary education,Male,Other,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",True,No
2023-02-02 10:35:00,Cati,22,61.0,55-64,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,True,Yes
2023-02-02 10:42:00,Cati,22,58.0,55-64,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 10:45:00,Cati,22,44.0,35-44,Secondary education,Female,Estonian,Pärnumaa,Pärnumaa,True,Yes
2023-02-02 11:07:00,Cati,22,75.0,75+,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,False,No
2023-02-02 11:10:00,Cati,22,75.0,75+,Higher education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 11:16:00,Cati,22,43.0,35-44,Higher education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 11:23:00,Cati,22,60.0,55-64,Secondary education,Female,Estonian,Nõmme,Mustamäe ja Nõmme,True,Yes
2023-02-02 11:28:00,Cati,22,53.0,45-54,Higher education,Male,Estonian,Valgamaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-02 11:41:00,Cati,22,45.0,45-54,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,True,Yes
2023-02-02 11:41:00,Cati,22,19.0,16-24,Secondary education,Female,Estonian,Võrumaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-02 11:49:00,Cati,22,49.0,45-54,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,False,No
2023-02-02 11:57:00,Cati,22,60.0,55-64,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,True,Yes
2023-02-02 12:07:00,Cati,22,69.0,65-74,Secondary education,Female,Estonian,Läänemaa,"Hiiu-, Lääne- ja Saaremaa",True,Yes
2023-02-02 12:08:00,Cati,22,83.0,75+,Secondary education,Female,Estonian,Saaremaa,"Hiiu-, Lääne- ja Saaremaa",True,Yes
2023-02-02 12:07:00,Cati,22,67.0,65-74,Higher education,Female,Estonian,Põlvamaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-02 12:09:00,Cati,22,53.0,45-54,Secondary education,Male,Estonian,Põhja-Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-02 12:25:00,Cati,22,52.0,45-54,Higher education,Female,Estonian,Kesklinn,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-02 12:23:00,Cati,22,24.0,16-24,Secondary education,Male,Estonian,Valgamaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-02 12:36:00,Cati,22,67.0,65-74,Secondary education,Female,Other,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-02 12:36:00,Cati,22,44.0,35-44,Higher education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 12:37:00,Cati,22,70.0,65-74,Secondary education,Male,Estonian,Raplamaa,Harju- ja Raplamaa,True,Yes
2023-02-02 12:44:00,Cati,22,49.0,45-54,Secondary education,Female,Estonian,Tartu linn,Tartu linn,True,No
2023-02-02 13:20:00,Cati,22,40.0,35-44,Secondary education,Female,Other,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",False,No
2023-02-02 12:49:00,Cati,22,63.0,55-64,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,True,Yes
2023-02-02 12:49:00,Cati,22,34.0,25-34,Secondary education,Female,Estonian,Põlvamaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-02 12:56:00,Cati,22,37.0,35-44,Higher education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,True,Yes
2023-02-02 12:54:00,Cati,22,41.0,35-44,Secondary education,Male,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 12:58:00,Cati,22,50.0,45-54,Secondary education,Male,Estonian,Pirita,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-02 13:00:00,Cati,22,56.0,55-64,Secondary education,Female,Estonian,Saaremaa,"Hiiu-, Lääne- ja Saaremaa",True,Yes
2023-02-02 13:06:00,Cati,22,63.0,55-64,Secondary education,Female,Estonian,Järvamaa,Järva- ja Viljandimaa,True,Yes
2023-02-02 13:09:00,Cati,22,68.0,65-74,Secondary education,Female,Estonian,Võrumaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-02 13:07:00,Cati,22,60.0,55-64,Higher education,Female,Other,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-02 13:11:00,Cati,22,43.0,35-44,Higher education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 13:12:00,Cati,22,34.0,25-34,Higher education,Male,Estonian,Põhja-Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-02 13:18:00,Cati,22,45.0,45-54,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,False,No
2023-02-02 13:27:00,Cati,22,76.0,75+,Secondary education,Male,Estonian,Tartumaa,Jõgeva- ja Tartumaa,True,Yes
2023-02-02 13:32:00,Cati,22,23.0,16-24,Higher education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 13:42:00,Cati,22,75.0,75+,Basic education,Female,Other,Harjumaa,Harju- ja Raplamaa,True,No
2023-02-02 13:34:00,Cati,22,25.0,25-34,Higher education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 13:37:00,Cati,22,56.0,55-64,Higher education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 13:39:00,Cati,22,38.0,35-44,Higher education,Female,Estonian,Pärnumaa,Pärnumaa,True,Yes
2023-02-02 13:46:00,Cati,22,47.0,45-54,Higher education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 13:50:00,Cati,22,59.0,55-64,Higher education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
